altezza; peso; sesso; età; sport; occupazione; esperienza_web; esperienza_cucina; obiettivo; opinione_stile_di_vita; importanza_stile_di_vita; query1; nomericettasinistra1; nomericettadestra1; ordinamentosinistra1; ordinamentodestra1; preferenza1; saporito1; sano1; perd/prend_peso1; facile1; etichette_mostrate1; query2; nomericettasinistra2; nomericettadestra2; ordinamentosinistra2; ordinamentodestra2; preferenza2; saporito2; sano2; perd/prend_peso2; facile2; etichette_mostrate2; query3; nomericettasinistra3; nomericettadestra3; ordinamentosinistra3; ordinamentodestra3; preferenza3; saporito3; sano3; perd/prend_peso3; facile3; etichette_mostrate3; numero_associato
162;59;Female;41-59;2-3 times at week;Private company staff;daily;1;No goals;Important;Healty;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Right side recipe;5;1;1;2;0;Pollo;Pollo A La Brasa (Peruvian Rotisserie Chicken) recipes;Lizzys Pollo,Cilantro and Lime Empanada's;calorie;anti-calorie;Left side recipe;3;3;2;5;0;Gelato;Strawberry Gelato recipes;Apple Friters with Ice Cream: Fritelle di Mele con Gelato;nutriscore;anti-calorie;Left side recipe;4;4;2;3;0;9224464
175;60;Female;20-25;0;Student;rarely;3;lose weight;Very important;Quite healty;Pesce;Pesce Al Forno Con Pomodorini E Gremolata recipes;Crostini di Pesce Spada (smoked swordfish toasts);calorie;anti-calorie;Left side recipe;5;4;4;2;0;Pasta;Spring Mac and Cheese recipes;Amalfi Calamari Pasta;etichette;anti-calorie;Right side recipe;5;4;4;3;0;torta;Campari & Grapefruit Sorbet;Torta di Castagne - Chestnut Cake;proteine;anti-calorie;None of these two;3;3;3;2;0;4022194
170;78;Female;60+;0;Public company staff;monthly;3;lose weight;Very important;Quite healty;pomodoro;Bruschetta Al Pomodoro - Tomato Bruschetta;Bruschetta Pomodoro;calorie;anti-calorie;Left side recipe;5;5;2;5;1;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;proteine;anti-calorie;Right side recipe;5;2;2;2;0;Torta;Campari & Grapefruit Sorbet;Torta di Castagne - Chestnut Cake;nutriscore;anti-calorie;Left side recipe;4;4;4;5;0;6899281
164;52;Female;20-25;4-5 times at week;Student;rarely;1;No goals;Very important;Healty;riso;Leftover Turkey Mushroom and Pancetta Riso;Riso Patate E Cozze (Baked Mussel & Potato Risotto) recipes;nutriscore;anti-calorie;Right side recipe;4;1;1;1;1;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;calorie;anti-calorie;Right side recipe;5;1;1;1;1;gelato;Strawberry Gelato recipes;Apple Friters with Ice Cream: Fritelle di Mele con Gelato;calorie;anti-calorie;Left side recipe;2;2;1;4;0;5709131
158;49;Female;20-25;2-3 times at week;Student;rarely;2;lose weight;Very important;Healty;smoked-salmon;Avocado On Rye Crackers With Smoked Salmon;Hot-Smoked Salmon Salad With A Chilli Lemon Dressing;proteine;anti-calorie;Left side recipe;4;5;4;5;0;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Left side recipe;3;5;5;5;0;ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;proteine;anti-calorie;Right side recipe;5;1;1;2;1;3613173
164;71;Female;31-40;0;Personale aziendale privato;rarely;3;lose weight;Importante;Non salutare;Prosciutto;Panino di Prosciutto e Fontina;Prosciutto-wrapped Mozzarella;etichette;anti-calorie;Ricetta lato destro;3;3;2;2;1;Tagliatelle;Asparagus & Smashed Garlic Tagliatelle;Cucumbers with Salmon and Tagliatelle;nutriscore;anti-calorie;Ricetta lato destro;4;1;2;1;1;Crema;Frozen Chocolate Dream Shooters;Mexican Chocolate Pecan Pie;nutriscore;anti-calorie;Nessuno di questi due;1;3;1;1;1;8428076
168;55;Female;41-59;2-3 times at week;Public company staff;monthly;3;No goals;Very important;Healty;smoked-salmon;Avocado On Rye Crackers With Smoked Salmon;Hot-Smoked Salmon Salad With A Chilli Lemon Dressing;proteine;anti-calorie;Left side recipe;4;4;4;5;1;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;calorie;anti-calorie;Right side recipe;4;3;4;3;1;ice-cream;Green Tea-Ginger Ice Cream;Mile-High Ice Cream Cake;etichette;anti-calorie;Left side recipe;4;3;3;5;0;7379454
170;55;Female;31-40;0;Personale dell'azienda pubblica;rarely;2;No goals;Molto importante;Non salutare;chicken;Mexicali Chicken;Fried Chicken;nutriscore;anti-calorie;Ricetta lato sinistro;4;5;3;5;1;rice;Quickie Pickled Radishes;Salmon Rice Fritters;calorie;anti-calorie;Ricetta lato destro;5;3;3;1;1;ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;calorie;anti-calorie;Ricetta lato sinistro;4;3;3;5;0;9014978
158;79;Female;41-59;0;Unemployed;rarely;3;lose weight;Important;Not healthy;Salmon;Avocado On Rye Crackers With Smoked Salmon;Salmon Wellington;proteine;anti-calorie;Right side recipe;4;4;4;4;0;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;calorie;anti-calorie;Right side recipe;5;3;2;4;0;Tiramisu;Amaretto Tiramisu for Two;Tiramisu;etichette;anti-calorie;Right side recipe;5;1;3;5;0;4243123
158;57;Female;41-59;2-3 times at week;Private company staff;monthly;4;lose weight;Very important;Healty;Bresaola;Bresaola with Radicchio, Pear and Walnuts;Antipasto Plate;proteine;anti-calorie;Left side recipe;3;3;4;5;1;Rice;Shrimp Summer Rolls with Sesame-Soy Dipping Sauce recipes;Salmon Rice Fritters;etichette;anti-calorie;Right side recipe;4;2;1;3;1;Gelato;Strawberry Gelato recipes;Apple Friters with Ice Cream: Fritelle di Mele con Gelato;nutriscore;anti-calorie;Right side recipe;5;1;1;3;1;3279148
180;80;Male;41-59;2-3 times at week;Public company staff;rarely;3;lose weight;Important;Healty;Pollo;Pollo A La Brasa (Peruvian Rotisserie Chicken) recipes;Lizzys Pollo,Cilantro and Lime Empanada's;nutriscore;anti-calorie;Left side recipe;4;5;5;4;0;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Right side recipe;5;5;5;4;1;Cake;Banana Rice Cake;Cake Doughnuts recipes;calorie;anti-calorie;Right side recipe;5;5;5;5;1;5503452
160;55;Female;41-59;0;disoccupato;rarely;3;lose weight;Molto importante;Abbastanza sano;Pollo;Pollo A La Brasa (Peruvian Rotisserie Chicken) recipes;Lizzys Pollo,Cilantro and Lime Empanada's;calorie;anti-calorie;Ricetta lato sinistro;5;5;5;5;0;Riso;Leftover Turkey Mushroom and Pancetta Riso;Riso Patate E Cozze (Baked Mussel & Potato Risotto) recipes;proteine;anti-calorie;Ricetta lato destro;5;5;1;5;1;Ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;proteine;anti-calorie;Ricetta lato sinistro;5;5;1;5;1;3003804
170;90;Male;60+;0;Personale dell'azienda pubblica;monthly;3;lose weight;Molto importante;Abbastanza sano;hamburger;Crispy Potato Wedges;Pulled Pork with Black Pepper Vinegar;nutriscore;anti-calorie;Ricetta lato sinistro;5;4;3;5;1;riso;Leftover Turkey Mushroom and Pancetta Riso;Riso Patate E Cozze (Baked Mussel & Potato Risotto) recipes;calorie;anti-calorie;Ricetta lato destro;5;5;4;5;0;ice-cream;Green Tea-Ginger Ice Cream;Mile-High Ice Cream Cake;etichette;anti-calorie;Ricetta lato sinistro;3;4;4;5;0;4220060
180;110;Male;41-59; 1 time at week;Private company staff;rarely;1;No goals;Important;Very healty;octopus;Octopus Grilled;Baby Octopus With Pig Skin And Kimchi Mayonnaise;nutriscore;anti-calorie;Left side recipe;5;5;5;5;0;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Right side recipe;5;5;5;5;1;ice;Ice Cream In A Bag;Ice Box Cafe Peanut Butter Ice Cream Cake;etichette;anti-calorie;Right side recipe;5;5;5;5;0;6181469
170;58;Female;16-19; 1 time at week;Student;monthly;2;lose weight;Not important;Quite healty;Chicken;Mexicali Chicken;Fried Chicken;nutriscore;anti-calorie;Right side recipe;5;1;1;1;1;Pasta;Spring Mac and Cheese recipes;Amalfi Calamari Pasta;etichette;anti-calorie;Left side recipe;4;3;2;3;0;Cioccolato;Arance candite con cioccolato (chocolate d;Crostata di castagne, cioccolato e pere (c;nutriscore;anti-calorie;Right side recipe;5;1;1;1;1;1798439
160;56;Female;31-40;0;Unemployed;daily;3;gain weight;Important;Healty;Pizza;Deep Dish Pizza Quiche recipes;Stuffed Crust Cast-Iron Pizza with Smoked Mozzarella;etichette;anti-calorie;Right side recipe;4;3;2;3;1;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;calorie;anti-calorie;Right side recipe;4;4;2;4;0;Cake;Melted Ice Cream Cake;Cake Doughnuts recipes;etichette;anti-calorie;Left side recipe;4;4;4;3;1;3302088
160;55;Female;60+;0;Personale dell'azienda pubblica;rarely;4;lose weight;Molto importante;sano;pollo;Pollo A La Brasa (Peruvian Rotisserie Chicken) recipes;Lizzys Pollo,Cilantro and Lime Empanada's;calorie;anti-calorie;Ricetta lato sinistro;5;5;5;4;1;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Ricetta lato sinistro;3;5;4;5;0;ice-cream;Green Tea-Ginger Ice Cream;Mile-High Ice Cream Cake;etichette;anti-calorie;Ricetta lato sinistro;3;5;4;5;0;9123815
180;65;Female;16-19;2-3 times at week;Unemployed;daily;3;lose weight;Very important;Quite healty;Salmon;Avocado On Rye Crackers With Smoked Salmon;Salmon Wellington;proteine;anti-calorie;Left side recipe;4;4;4;5;1;Fish;Naomi Duguid's Fish Cakes and Fish Balls;Smoked Fish with Mustard, Dill and Caper Sauce;calorie;anti-calorie;Left side recipe;4;3;3;2;1;Waffle;Skinny Strawberry Waffle Shortcake recipes;Chicken and Buttermilk Waffle Cupcakes;calorie;anti-calorie;Left side recipe;4;3;2;4;1;7508313
175;74;Male;41-59;0;Personale dell'azienda pubblica;monthly;2;lose weight;Importante;Non salutare;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Right side recipe;4;3;2;4;0;Salsa;Spring Radish Salsa;Salsa Chicken Tenders;proteine;anti-calorie;Left side recipe;3;3;2;2;1;Ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;nutriscore;anti-calorie;Left side recipe;2;2;3;3;0;1070575
1700;87;Male;41-59; 1 time at week;Personale dell'azienda pubblica;monthly;4;lose weight;Importante;Abbastanza sano;Salmone;Smoked Salmon Tartare;Salmon Wellington;calorie;anti-calorie;Ricetta lato destro;4;4;4;4;1;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Ricetta lato destro;4;4;4;4;0;Ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;calorie;anti-calorie;Ricetta lato sinistro;4;4;4;4;0;8778124
170;58;Female;26-30;4-5 times at week;Public company staff;daily;4;gain weight;Very important;Healty;smoked-salmon;Avocado On Rye Crackers With Smoked Salmon;Hot-Smoked Salmon Salad With A Chilli Lemon Dressing;proteine;anti-calorie;Left side recipe;5;5;5;5;1;pasta;Spring Mac and Cheese recipes;Amalfi Calamari Pasta;etichette;anti-calorie;Right side recipe;5;5;5;5;0;ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;nutriscore;anti-calorie;Left side recipe;5;5;5;5;1;7250625
172;90;Male;41-59; 1 time at week;Personale dell'azienda pubblica;rarely;3;gain weight;Importante;Abbastanza sano;Salmone;Avocado On Rye Crackers With Smoked Salmon;Salmon Wellington;nutriscore;anti-calorie;Ricetta lato destro;4;2;2;4;1;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;proteine;anti-calorie;Ricetta lato destro;5;3;3;3;0;Ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;calorie;anti-calorie;Ricetta lato sinistro;5;3;3;5;0;3360566
158;90;Female;31-40;0;Self employed;daily;1;No goals;Important;Not healthy;Hamburger;Crispy Potato Wedges;Pulled Pork with Black Pepper Vinegar;nutriscore;anti-calorie;Ricetta lato sinistro;4;5;3;4;1;Pasta;Spring Mac and Cheese recipes;Amalfi Calamari Pasta;etichette;anti-calorie;Ricetta lato destro;3;4;2;3;0;Gelato;Cinnamon Gelato with Malassadas recipes;Apple Friters with Ice Cream: Fritelle di Mele con Gelato;etichette;anti-calorie;Ricetta lato sinistro;4;4;2;5;0;8963931
179;79;Male;20-25; 1 time at week;Student;monthly;2;No goals;Important;Quite healty;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Nessuno di questi due;1;1;1;1;1;Ricotta;Cherries With Ricotta & Toasted Almonds;Ricotta Cannoli Cheesecake;proteine;anti-calorie;Ricetta lato sinistro;3;5;4;5;1;3003290
177;75;Male;41-59; 1 time at week;Public company staff;daily;5;No goals;Important;Quite healty;Smoked-salmon;Avocado On Rye Crackers With Smoked Salmon;Hot-Smoked Salmon Salad With A Chilli Lemon Dressing;nutriscore;anti-calorie;Right side recipe;3;3;3;3;1;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;nutriscore;anti-calorie;Right side recipe;3;3;3;3;1;Ice-cream;Green Tea-Ginger Ice Cream;Mile-High Ice Cream Cake;etichette;anti-calorie;None of these two;1;1;5;5;1;9864382
168;67;Male;41-59;0;Personale dell'azienda pubblica;daily;3;No goals;Molto importante;Abbastanza sano;Pollo;Empanadas de Pollo al Verdeo (Chicken and Spring Onion Empanadas);Lizzys Pollo,Cilantro and Lime Empanada's;etichette;anti-calorie;Ricetta lato sinistro;3;2;1;4;0;Riso;Leftover Turkey Mushroom and Pancetta Riso;Riso Patate E Cozze (Baked Mussel & Potato Risotto) recipes;calorie;anti-calorie;Ricetta lato destro;3;3;3;4;1;Icecream;Easy Peach Basil Sorbet – No Icecream Maker Needed recipes;Snicker Cake and Ice Cream Fantasy Recipe;nutriscore;anti-calorie;Ricetta lato sinistro;3;4;3;4;0;5009117
165;65;Female;31-40;0;Personale aziendale privato;daily;4;lose weight;Importante;Abbastanza sano;Cioccolato;Fichi secchi al cioccolato (chocolate dipp;Fichi secchi al cioccolato (chocolate dipp;nutriscore;anti-calorie;Nessuno di questi due;1;1;3;1;0;Antipasto;Endive with Pecorino and Honey;Artichoke, Fennel, and Lemon Fritto Misto;calorie;anti-calorie;Ricetta lato destro;3;2;1;2;0;Primo;Masa Muffins recipes;Primo Peach and Plum Cobbler;calorie;anti-calorie;Ricetta lato sinistro;3;1;1;3;1;2299430
165;65;Female;31-40;0;Personale aziendale privato;daily;4;lose weight;Molto importante;Abbastanza sano;Antipasto;Simple Antipasto Salad;Artichoke, Fennel, and Lemon Fritto Misto;proteine;anti-calorie;Ricetta lato sinistro;3;5;5;5;0;Primo;Risi E Bisi;Primo Grilled Jalapeno Poppers recipes;calorie;anti-calorie;Ricetta lato destro;4;2;2;4;0;Dessert;Dessert Island Parfait;Pomegranate Chocolate Dessert;calorie;anti-calorie;Ricetta lato destro;5;2;2;2;1;5517564
165;65;Female;31-40;0;Personale aziendale privato;daily;4;lose weight;Importante;Abbastanza sano;Antipasto;Antipasto Rollups;Artichoke, Fennel, and Lemon Fritto Misto;nutriscore;anti-calorie;Ricetta lato sinistro;4;2;2;4;0;Primo;Risi E Bisi;Primo Grilled Jalapeno Poppers recipes;etichette;anti-calorie;Ricetta lato sinistro;3;3;3;3;0;Cioccolato;Salame di Cioccolato con Nutella® (Italian Chocolate Salami);Crostata di castagne, cioccolato e pere (c;proteine;anti-calorie;Ricetta lato sinistro;4;2;2;5;0;8329872
165;55;Female;31-40; 1 time at week;Personale aziendale privato;rarely;3;No goals;Molto importante;Abbastanza sano;Pollo;Pollo A La Brasa (Peruvian Rotisserie Chicken) recipes;Lizzys Pollo,Cilantro and Lime Empanada's;nutriscore;anti-calorie;Ricetta lato sinistro;2;4;1;5;1;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;calorie;anti-calorie;Ricetta lato destro;4;1;1;1;0;Cheesecake;Lemon Cheesecake Cupcakes;Cheesecake-Stuffed Luscious Lemon Cake;proteine;anti-calorie;Ricetta lato sinistro;3;3;1;4;1;1064980
175;56;Male;16-19;2-3 times at week;Alunno;rarely;1;No goals;Molto importante;Molto salutare;pollo;Empanadas de Pollo al Verdeo (Chicken and Spring Onion Empanadas);Lizzys Pollo,Cilantro and Lime Empanada's;etichette;anti-calorie;Ricetta lato destro;4;3;2;1;0;risotto-di-mare;Croatian Dalmatian red risotto (fisherman's risotto);Risotto ai Frutti di Mare;etichette;anti-calorie;Ricetta lato destro;4;2;3;3;1;ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;proteine;anti-calorie;Ricetta lato destro;4;1;2;2;0;5046899
175;58;Female;20-25;2-3 times at week;Student;rarely;3;lose weight;Very important;Quite healty;pasta;Spring Mac and Cheese recipes;Amalfi Calamari Pasta;etichette;anti-calorie;Left side recipe;4;3;3;3;1;rice;Quickie Pickled Radishes;Salmon Rice Fritters;proteine;anti-calorie;Left side recipe;3;5;5;5;0;pancake;Chris Santos's Oreo Pancake Recipe Is a Brunch-Party Pleaser;Chocolate Candy Cane Tower;proteine;anti-calorie;Left side recipe;5;5;3;5;1;8541635
164;55;Female;20-25;0;Alunno;monthly;4;No goals;Molto importante;sano;lenticchie;Lenticchie e Lonza {Lentils and Bacon} recipes;Lenticchie e Lonza {Lentils and Bacon} recipes;etichette;anti-calorie;Ricetta lato sinistro;4;4;4;3;0;pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;calorie;anti-calorie;Ricetta lato destro;5;4;3;4;0;cioccolato;Cupcakes with bacon, pineapple and chives;Crostata di castagne, cioccolato e pere (c;etichette;anti-calorie;Ricetta lato destro;4;3;3;4;1;5585327
177;65;Male;41-59;more of 5 times at week;Personale aziendale privato;monthly;5;No goals;Molto importante;Molto salutare;salmone;Endive with Salmon and Capers;Salmon Wellington;proteine;anti-calorie;Ricetta lato sinistro;4;3;2;1;0;sugo;Tomato Sugo Recipe;Polpette Di Melanzane With Sugo Di Pomodoro;nutriscore;anti-calorie;Ricetta lato destro;4;3;2;4;0;cioccolata;Anisette Glazed Bittersweet Chocolate Tart: Torta di Cioccolata Amara con Glasse di Anice;Anisette Glazed Bittersweet Chocolate Tart: Torta di Cioccolata Amara con Glasse di Anice;proteine;anti-calorie;Ricetta lato sinistro;4;1;2;1;0;9339390
178;84;Male;41-59;2-3 times at week;Public company staff;daily;4;lose weight;Important;Healty;Pollo;Pollo A La Brasa (Peruvian Rotisserie Chicken) recipes;Lizzys Pollo,Cilantro and Lime Empanada's;calorie;anti-calorie;Ricetta lato sinistro;4;3;1;4;0;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;proteine;anti-calorie;Ricetta lato sinistro;2;4;4;3;1;Crema;Frozen Chocolate Dream Shooters;Mexican Chocolate Pecan Pie;nutriscore;anti-calorie;Ricetta lato sinistro;4;2;2;4;0;4971309
163;75;Female;20-25;2-3 times at week;Student;rarely;3;No goals;Important;Quite healty;bruschetta;Pepper Bruschetta;Muffuletta Bruschetta;nutriscore;anti-calorie;Left side recipe;4;4;3;5;0;risotto;Tomato Risotto;Beet Risotto;proteine;anti-calorie;Left side recipe;5;4;3;4;1;gelato;Strawberry Gelato recipes;Apple Friters with Ice Cream: Fritelle di Mele con Gelato;calorie;anti-calorie;Left side recipe;4;3;3;3;1;6559285
168;65;Female;31-40;0;Personale aziendale privato;monthly;3;No goals;Importante;sano;pesce-spada;Crostini di Pesce Spada (smoked swordfish toasts);Crostini di Pesce Spada (smoked swordfish toasts);etichette;anti-calorie;Ricetta lato sinistro;5;5;4;5;0;risotto;Tomato Risotto;Beet Risotto;calorie;anti-calorie;Ricetta lato sinistro;4;5;4;5;0;ice-cream;Vanilla Ice-Cream Latte;Mile-High Ice Cream Cake;proteine;anti-calorie;Ricetta lato sinistro;4;4;4;5;1;2730291
175;70;Male;20-25;2-3 times at week;Student;monthly;3;No goals;Important;Quite healty;Pollo;Pollo A La Brasa (Peruvian Rotisserie Chicken) recipes;Lizzys Pollo,Cilantro and Lime Empanada's;calorie;anti-calorie;Left side recipe;5;4;5;4;1;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;calorie;anti-calorie;Left side recipe;5;4;5;5;0;Gelato;Cinnamon Gelato with Malassadas recipes;Apple Friters with Ice Cream: Fritelle di Mele con Gelato;etichette;anti-calorie;Right side recipe;5;5;4;4;0;1944183
175;70;Male;20-25;2-3 times at week;Student;monthly;3;No goals;Important;Quite healty;Hamburger;The Secret Ingredient (Ginger Jam): Sweet Ginger Seared Tuna Recipe;Pulled Pork with Black Pepper Vinegar;calorie;anti-calorie;Right side recipe;4;5;5;5;0;Salmon;Avocado On Rye Crackers With Smoked Salmon;Salmon Wellington;proteine;anti-calorie;Right side recipe;5;4;5;5;1;Pasta;Seriously Italian: Pastiera (Ricotta and Cooked Grains Cake) Recipe;The Nasty Bits: How to Render Leaf Lard (with Welsh Griddle Cakes Recipe);etichette;anti-calorie;Left side recipe;5;5;5;4;0;6824180
183;78;Male;16-19;2-3 times at week;Student;monthly;4;gain weight;Important;Quite healty;Torta;Goat Cheese Torta;Giant Milanesa Torta With Crispy Chicken Tenders;nutriscore;anti-calorie;Left side recipe;4;5;4;4;1;Riso;Leftover Turkey Mushroom and Pancetta Riso;Riso Patate E Cozze (Baked Mussel & Potato Risotto) recipes;proteine;anti-calorie;Right side recipe;5;5;5;5;1;Pancake;Tart-Sweet Lemon Blackberry Pancake Topping recipes;Chocolate Candy Cane Tower;calorie;anti-calorie;Left side recipe;3;5;4;5;1;4569515
167;65;Female;16-19;2-3 times at week;Student;rarely;3;lose weight;Important;Quite healty;pollo;Pollo A La Brasa (Peruvian Rotisserie Chicken) recipes;Lizzys Pollo,Cilantro and Lime Empanada's;nutriscore;anti-calorie;Left side recipe;5;2;2;4;1;pasta;Spring Mac and Cheese recipes;Amalfi Calamari Pasta;etichette;anti-calorie;Right side recipe;5;3;2;4;0;cheese-cake;Honor: Coconut Cake with Coconut Creme Filling and Cream Cheese Buttercream;Vanilla-Buttermilk Wedding Cake With Raspberries and Orange Cream-Cheese Frosting;etichette;anti-calorie;None of these two;1;1;1;1;0;5276982
168;53;Female;41-59; 1 time at week;Private company staff;daily;4;gain weight;Very important;Healty;Fish;Steamed Fish With Ginger & Orange;Smoked Fish with Mustard, Dill and Caper Sauce;nutriscore;anti-calorie;Ricetta lato sinistro;4;5;2;3;1;Pasta;Spring Mac and Cheese recipes;Amalfi Calamari Pasta;etichette;anti-calorie;Ricetta lato destro;5;5;2;2;0;Carne;Cook the Book: Frito Pie;Chipotle Trail Mix;calorie;anti-calorie;Ricetta lato destro;5;5;2;2;0;7435570
181;75;Male;41-59;0;Public company staff;daily;3;lose weight;Very important;Quite healty;Smoked-salmon;Avocado On Rye Crackers With Smoked Salmon;Hot-Smoked Salmon Salad With A Chilli Lemon Dressing;proteine;anti-calorie;Left side recipe;4;5;4;5;1;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;proteine;anti-calorie;Left side recipe;4;5;4;3;1;Cake;Banana Rice Cake;Cake Doughnuts recipes;calorie;anti-calorie;Left side recipe;4;4;4;5;0;1167877
172;74;Female;41-59; 1 time at week;Personale dell'azienda pubblica;daily;3;lose weight;Molto importante;Abbastanza sano;TARTINE;Tic Tac Toe Tartine with Red Radishes;SMOKED SALMON TARTINE with asparagus butte;calorie;anti-calorie;Ricetta lato destro;4;4;4;4;1;RISOTTO;Tomato Risotto;Beet Risotto;calorie;anti-calorie;Ricetta lato sinistro;4;5;3;4;1;CROSTATA;Cinnamon-Apple Crostata;Pear and Cranberry Crostata;etichette;anti-calorie;Ricetta lato sinistro;3;3;4;4;0;5368870
173;70;Female;41-59;2-3 times at week;Personale dell'azienda pubblica;monthly;3;No goals;Molto importante;Abbastanza sano;Pollo;Pollo A La Brasa (Peruvian Rotisserie Chicken) recipes;Lizzys Pollo,Cilantro and Lime Empanada's;proteine;anti-calorie;Nessuno di questi due;1;1;1;1;1;Pasta;Parsley Orzo recipes;Amalfi Calamari Pasta;calorie;anti-calorie;Ricetta lato sinistro;3;2;1;3;0;Mascarpone;Lemon-Blueberry with Mascarpone Oatmeal;Orange Marmalade Tarts with Bittersweet Chocolate Ganache and Mascarpone Crème;calorie;anti-calorie;Ricetta lato sinistro;4;3;2;4;1;2242247
168;85;Female;41-59;0;Unemployed;daily;5;lose weight;Not important;;Prosciutto;Panino di Prosciutto e Fontina;Prosciutto-wrapped Mozzarella;etichette;anti-calorie;Left side recipe;5;4;1;5;1;Pasta-pesto;Spinach-Walnut Pesto;Delicioso Antipasto Pasta Salad;proteine;anti-calorie;Right side recipe;5;5;1;5;1;Crostata;Apple Crostata Recipe;Pear and Cranberry Crostata;nutriscore;anti-calorie;Left side recipe;5;5;1;5;1;5906715
180;85;Male;41-59; 1 time at week;Public company staff;daily;1;No goals;Important;Healty;Andrea;Chopped Egg and Garlic Vinaigrette;Salt and Pepper Shrimp;calorie;anti-calorie;Right side recipe;3;4;4;4;1;Andrea;Andrea's Steamed Buns;Salt and Pepper Shrimp;etichette;anti-calorie;Right side recipe;3;4;3;4;1;Andrea;This Sweet Breakfast Galette Will Make Your Morning Peachy;Andrea’s Fudge recipes;calorie;anti-calorie;Left side recipe;3;4;3;4;0;9670893
172;55;Female;41-59;0;Public company staff;rarely;2;gain weight;Very important;Quite healty;Pollo;Pollo A La Brasa (Peruvian Rotisserie Chicken) recipes;Lizzys Pollo,Cilantro and Lime Empanada's;calorie;anti-calorie;Left side recipe;2;4;4;5;0;Rice;Quickie Pickled Radishes;Salmon Rice Fritters;proteine;anti-calorie;Right side recipe;3;2;2;3;0;Cake;Simple Spiderweb Cake;Cake Doughnuts recipes;proteine;anti-calorie;None of these two;1;4;1;2;1;4773963
175;73;Male;20-25;4-5 times at week;Student;daily;3;lose weight;Important;Quite healty;Chicken;Mexicali Chicken;Fried Chicken;nutriscore;anti-calorie;Left side recipe;3;2;3;3;0;Pasta;Spring Mac and Cheese recipes;Amalfi Calamari Pasta;etichette;anti-calorie;Left side recipe;5;5;5;5;1;Pancake;Chris Santos's Oreo Pancake Recipe Is a Brunch-Party Pleaser;Chocolate Candy Cane Tower;proteine;anti-calorie;Left side recipe;5;5;5;5;0;3122004
160;100;Female;60+;0;Public company staff;monthly;5;lose weight;Very important;Not healthy;prosciutto;Panino di Prosciutto e Fontina;Prosciutto-wrapped Mozzarella;etichette;anti-calorie;Right side recipe;4;1;2;5;1;Pasta;Spring Mac and Cheese recipes;Amalfi Calamari Pasta;etichette;anti-calorie;None of these two;1;1;1;1;0;Chocolate;Chocolate & Banana;Chocolate Cake with Chocolate-Coffee Buttercream;proteine;anti-calorie;Left side recipe;5;2;1;4;0;1299896
158;60;Female;41-59;0;Personale dell'azienda pubblica;rarely;4;No goals;Molto importante;Abbastanza sano;Pesce;Pesce Al Forno Con Pomodorini E Gremolata recipes;Crostini di Pesce Spada (smoked swordfish toasts);calorie;anti-calorie;Ricetta lato destro;3;5;3;1;0;Pasta;Spring Mac and Cheese recipes;Amalfi Calamari Pasta;etichette;anti-calorie;Ricetta lato sinistro;3;3;1;5;1;Gelato;Strawberry Gelato recipes;Apple Friters with Ice Cream: Fritelle di Mele con Gelato;nutriscore;anti-calorie;Ricetta lato sinistro;3;5;3;5;1;7804662
